coupling,T,S3/T,r_c,phi_esc
1.07,7580.0,488.89261725421244,0.0023933186785147767,27151.988723557326
1.07,7600.0,502.78555273465724,0.002379371227128651,27619.653722815827
1.07,7620.0,516.8084413512576,0.0023669913339857654,28085.77754498995
1.07,7640.0,530.8882857241474,0.002353688825310095,28550.005195528007
1.07,7660.0,545.1467444323224,0.002342417325530925,29012.504783052485
1.07,7680.0,559.5244273769362,0.0023308870170793265,29472.89666061454
1.07,7700.0,574.0197295639866,0.0023193695823136872,29931.267948039094
1.07,7720.0,588.6491776693489,0.002309036277179193,30388.813636872277
1.07,7740.0,603.4103009462929,0.0022994528067695873,30845.12202732067
1.07,7760.0,618.2802381462036,0.0022890311784442324,31299.20827361301
1.07,7780.0,633.3033115193442,0.0022801463599683865,31753.34360922684
1.07,7800.0,648.436982983153,0.0022712023922941294,32205.435720821813
1.07,7820.0,663.7061514145005,0.0022623323196696416,32656.66146979759
1.07,7840.0,679.1099668913367,0.0022540001779536565,33107.10935650792
1.07,7860.0,694.6293744960453,0.002245363483045761,33555.71776908636
1.07,7880.0,710.3060364377671,0.0022380405742548235,34004.833316157834
1.07,7900.0,726.100061450406,0.002230490976403602,34452.239005551324
1.07,7920.0,742.0318692682811,0.002222816893486788,34899.141091091384
1.07,7940.0,758.102488634393,0.0022159559742500135,35345.60423868312
1.07,7960.0,774.3142024648074,0.0022090826714956024,35791.68981673634
1.07,7980.0,790.6440126696643,0.0022019253407337923,36236.2560648899
1.07,8000.0,807.1375158520343,0.0021959524288327945,36681.74125322295
1.07,8020.0,823.7538461679733,0.0021895843884022453,37125.79545606335
1.07,8040.0,840.5118418845071,0.0021836152220789046,37569.660195454395
1.07,8060.0,857.3921213320555,0.00217700249139725,38012.15398326369
1.07,8080.0,874.4336273789751,0.002171451647434563,38455.45643036035
1.07,8100.0,891.6166168865351,0.0021660525333617076,38898.380400355454
1.07,8120.0,908.9444964860471,0.0021609636356253797,39341.270724941875
1.07,8140.0,926.4088548975747,0.002155804114183686,39783.53062350257
1.07,8160.0,944.0192519851602,0.0021506499722492383,40225.814457456916
1.07,8180.0,961.7662150356654,0.0021455760317012212,40667.516482606574
1.07,8200.0,979.6598860594992,0.002140646054661486,41109.290910452444
1.07,8220.0,997.7033690468674,0.0021361541067280937,41551.17148650436
1.07,8240.0,1015.8984330610721,0.0021316471025689286,41993.166051222404
1.08,6800.0,25.04761330741371,0.01097774944044049,2923.9559379889542
1.08,6820.0,45.551433841457346,0.006765487356072117,5009.477307824651
1.08,6840.0,61.459226779695854,0.005493300794702006,6425.891210217582
1.08,6860.0,75.54432082711898,0.0048276195505672055,7579.740784034424
1.08,6880.0,88.74613285743308,0.004401347830643717,8581.908122816181
1.08,6900.0,101.33568780033572,0.004096704805026872,9486.177780162485
1.08,6920.0,113.59364990304442,0.003866923757040758,10320.150468069129
1.08,6940.0,125.5958171942201,0.0036850450532042367,11099.137030801474
1.08,6960.0,137.4153437396743,0.0035392512541673267,11837.825621648386
1.08,6980.0,149.15489026988377,0.0034155053394252476,12542.223773022357
1.08,7000.0,160.80301835278698,0.003309467952948086,13216.996971125816
1.08,7020.0,172.40737230116517,0.0032173712291021644,13867.637427025707
1.08,7040.0,184.00852097464085,0.003138189305426968,14498.131759182841
1.08,7060.0,195.62812121342512,0.0030685773722531015,15111.70352837014
1.08,7080.0,207.25207753482974,0.0030051358451146453,15708.579282051782
1.08,7100.0,218.91197072031713,0.0029490887325095833,16292.032811891142
