lambda,T,S3/T,r_c,phi_esc,Gamma_H4
0.4,17675.824999999757,229.04398153153855,0.2614122606560447,59757.9933124309,2.1611130239371757e-62
0.4,17675.799999999756,228.56623260820118,0.26219234384585427,59779.23128633022,3.4737497054697466e-62
0.4,17675.774999999754,228.0832107839765,0.34666996957140134,59800.542408341214,5.612956169153434e-62
0.4,17675.749999999753,227.6048902136083,0.26383943120290865,59821.84097303023,9.02721080829916e-62
0.4,17675.72499999975,227.12520614904093,0.26469957788606296,59843.209287340986,1.4537873587859464e-61
0.4,17675.69999999975,226.64282109908254,0.2655918549523464,59864.62370724951,2.3475267287319666e-61
0.4,17675.67499999975,226.1572513293861,0.2664741973001016,59886.101107019385,3.80269229810942e-61
0.4,17675.649999999747,225.67666656762688,0.26730635213912907,59907.5839011881,6.129404034523467e-61
0.4,17675.624999999745,225.1923280166565,0.2681985974837155,59929.13081793293,9.916576154521302e-61
0.4,17675.599999999744,224.70712439998977,0.2689982634723209,59950.722546397206,1.6057407349473177e-60
0.4,17675.574999999742,224.2197015966216,0.26513038464063265,59972.36156032366,2.6058138854144076e-60
0.4,17675.54999999974,223.72706160130005,0.2644920227221151,59994.39535767258,4.250684693387398e-60
0.4,17675.52499999974,223.23618243620797,0.2685282762645278,60016.129815077766,6.921682102970837e-60
0.4,17675.499999999738,222.74779925405323,0.2759083413498389,60037.90009618714,1.1243060964490862e-59
0.4,17675.474999999737,222.2632062330781,0.25263161641476817,60059.37141356873,1.8193632293427311e-59
0.4,17675.449999999735,221.76358920766563,0.27324280342366786,60081.5893584012,2.988352838021872e-59
0.4,17675.424999999734,221.26734003753833,0.2741425269056227,60103.50214260471,4.892020885919323e-59
0.4,17675.399999999732,220.773438699437,0.274958030519508,60125.46319513485,7.989667976819959e-59
0.4,17675.37499999973,220.28040408627177,0.2759880451758062,60147.47921789912,1.3037431819472668e-58
0.4,17675.34999999973,219.7823421304028,0.2769483807750493,60169.529255376074,2.1380632626466666e-58
0.4,17675.324999999728,219.27926966480584,0.278017639474938,60191.76486911142,3.5237643573007875e-58
0.4,17675.299999999726,218.78530210049982,0.26362921640759407,60213.80113132414,5.755229400002424e-58
0.4,17675.274999999725,218.27998982651076,0.28502843629521,60236.34917693944,9.506227141402756e-58
0.4,17675.249999999724,217.77446850785728,0.28144447245870674,60258.58515971334,1.5705089135982516e-57
0.4,17675.224999999722,217.2711656263698,0.28264212108743125,60280.88799683071,2.588882324604861e-57
0.4,17675.19999999972,216.76687602117607,0.28394253164967975,60303.44171185272,4.2717544724638857e-57
0.4,17675.17499999972,216.25751613015535,0.27361347113515916,60325.9766955718,7.084079940443075e-57
0.4,17675.149999999718,215.76568204727263,0.26810608129736846,60348.0849116622,1.1545123005537958e-56
0.4,17675.124999999716,215.25190724637727,0.2840255012122095,60370.95543695608,1.9229705136366829e-56
0.4,17675.099999999715,214.74350486456194,0.2859486634840486,60393.509303151965,3.185855399542142e-56
0.4,17675.074999999713,214.22907896284138,0.2881450508351524,60416.08224945988,5.309743094981777e-56
0.4,17675.049999999712,213.7091164545241,0.27109715757545527,60439.074326211565,8.898254893859906e-56
0.4,17675.02499999971,213.20594700960842,0.27702169845818037,60461.444885837256,1.4665284645504974e-55
0.4,17674.99999999971,212.685084073003,0.29141878379787095,60484.540691509465,2.459815405741215e-55
0.4,17674.974999999708,212.17189102941762,0.314994299834621,60507.353697456485,4.0945218014801126e-55
0.4,17674.949999999706,211.65517450710502,0.2957552461993261,60530.26765281167,6.839422458484162e-55
0.4,17674.924999999705,211.13871250430648,0.2970342058573578,60553.19194823341,1.142147092748571e-54
0.4,17674.899999999703,210.61746481361536,0.2898685601815486,60576.122712740726,1.9163919821927475e-54
0.4,17674.8749999997,210.0928720367903,0.29230556335095537,60599.486376010136,3.22615360990992e-54
0.4,17674.8499999997,209.57313369983223,0.29926230761916933,60622.62622683934,5.404910546653526e-54
0.4,17674.8249999997,209.05202366329212,0.3018961391998269,60645.71451232379,9.0673299545057e-54
0.4,17674.799999999697,208.52195179443652,0.28317839259074723,60669.24342834853,1.5347242602135552e-53
0.4,17674.774999999696,208.00801129239264,0.27345529206660735,60692.17255411272,2.5563590145764743e-53
0.4,17674.749999999694,207.47935701275952,0.30296213423482543,60715.87865111253,4.320691640996545e-53
0.4,17674.724999999693,206.95436558268725,0.304175668493306,60739.25316214626,7.276143314869337e-53
0.4,17674.69999999969,206.41898145578523,0.3060368235928563,60762.942245303064,1.2380144607586814e-52
0.4,17674.67499999969,205.89010186724275,0.3076560429063005,60786.4310443539,2.0928663914192973e-52
0.4,17674.64999999969,205.35749879914408,0.2949931571867854,60810.3054609432,3.5510620956108915e-52
0.4,17674.624999999687,204.82952941509316,0.30298459370508196,60833.989343972404,5.997537903149064e-52
0.4,17674.599999999686,204.29732744498068,0.3006659487942538,60857.58146568829,1.0172040957915371e-51
0.4,17674.574999999684,203.76525534685544,0.28263209915333404,60881.391127307,1.7249749425729476e-51
0.4,17674.549999999683,203.22668139447805,0.3121704223463524,60905.506732533046,2.944122780477115e-51
0.4,17674.52499999968,202.6908193150116,0.2901712291587152,60929.274803248416,5.011358058204953e-51
0.4,17674.49999999968,202.14806750761372,0.313990464234682,60953.51237989924,8.588560224057475e-51
0.4,17674.47499999968,201.60981977244862,0.30323956613171726,60977.48910370972,1.465342212474775e-50
0.4,17674.449999999677,201.0729183604593,0.2912864354447729,61001.62263302005,2.4967368653001346e-50
0.4,17674.424999999675,200.5287829238568,0.3170121127966354,61026.04697460022,4.284696247360575e-50
0.4,17674.399999999674,199.98351493239747,0.3171820788787646,61050.21973998429,7.361234974612909e-50
0.4,17674.374999999673,199.4284565947916,0.3177504196586784,61074.672011308474,1.277016160211615e-49
0.4,17674.34999999967,198.89083408599055,0.31898389735713784,61099.07027435794,2.177318116486299e-49
0.4,17674.32499999967,198.33301265085223,0.3002437752935331,61123.648494151494,3.787464402861456e-49
0.4,17674.29999999967,197.7968365527855,0.3226139359962621,61147.87463443257,6.448235975363132e-49
0.4,17674.274999999667,197.23287476272753,0.3239263251826162,61172.574148613836,1.1285060806070566e-48
0.4,17674.249999999665,196.68053773207455,0.32545234715645244,61197.1407124332,1.952322206303851e-48
0.4,17674.224999999664,196.13088771464345,0.307566600433415,61221.77171959524,3.368495076879521e-48
0.4,17674.199999999662,195.56698865087878,0.32079716497865385,61246.78372462601,5.894623121160451e-48
0.4,17674.17499999966,195.0076571883972,0.3300011859414798,61271.55738830896,1.0268389360911596e-47
0.4,17674.14999999966,194.4528177624948,0.33143220612529056,61296.39530523749,1.7807683813442919e-47
0.4,17674.124999999658,193.88455334487423,0.32410198668200396,61321.61269252253,3.1296266699938714e-47
0.4,17674.099999999657,193.3246387124781,0.33443556833747995,61346.591449478125,5.454738145573521e-47
0.4,17674.074999999655,192.7587384616742,0.3035303854483888,61371.64170109569,9.563769671866141e-47
0.4,17674.049999999654,192.19506444082538,0.287640498573562,61396.763779601286,1.6730903762011176e-46
0.4,17674.024999999652,191.6287729431339,0.27980971014936085,61422.09550743733,2.9344853673525503e-46
0.4,17673.99999999965,191.05831194342812,0.2935014021832428,61447.66839723829,5.168153232775081e-46
0.4,17673.97499999965,190.48462440285908,0.3400273909016596,61473.31522687187,9.131103008661517e-46
0.4,17673.949999999648,189.9001242381926,0.34221947231077643,61499.03506921373,1.6306620552284354e-45
0.4,17673.924999999646,189.31624205834729,0.2975734570124668,61524.98608621631,2.9102631238744884e-45
0.4,17673.899999999645,188.7380539297734,0.3121626573092646,61550.699372812436,5.164652543589204e-45
0.4,17673.874999999643,188.15316517568687,0.29091148700013236,61576.78679878454,9.226366331226029e-45
0.4,17673.849999999642,187.5684847055169,0.28924145731124173,61602.80404902996,1.6478749459580188e-44
0.4,17673.82499999964,186.98124425102927,0.2877484167535415,61628.89739955531,2.9506272283550657e-44
0.4,17673.79999999964,186.40342262604736,0.32721402965143354,61654.47068686929,5.234080371207415e-44
0.4,17673.774999999638,185.8153638181934,0.3547814753239258,61680.72018010185,9.379295777771787e-44
0.4,17673.749999999636,185.22198232292757,0.35699659833082686,61707.050753602474,1.6896098987074132e-43
0.4,17673.724999999635,184.62360252374776,0.29197935347113047,61733.92652587086,3.0587858500482697e-43
0.4,17673.699999999633,184.049778287593,0.29114071261033336,61759.36257844304,5.404150447239325e-43
0.4,17673.674999999632,183.4551691270533,0.30206085878479505,61785.9385002732,9.746584060740542e-43
0.4,17673.64999999963,182.85516064409038,0.3002827130074764,61812.59652057161,1.7672429247064636e-42
0.4,17673.62499999963,182.253737354343,0.2986829661465381,61839.33935972763,3.2087984707069705e-42
0.4,17673.599999999627,181.65156356635237,0.30612443448344173,61866.16953945094,5.830486367809099e-42
0.4,17673.574999999626,181.04995043011832,0.3181086933772931,61893.08236427941,1.0588111279631537e-41
0.4,17673.549999999625,180.45306893678762,0.31280323223719175,61919.982411749275,1.9137586730318562e-41
0.4,17673.524999999623,179.84629709669846,0.37396944695164247,61947.170838333324,3.4930774774921033e-41
