Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 224.76 ms/step | ETA: 5619.0 min

*** phi threshold exceeded: max|phi|=263782.3 > 50000.0
*** Switching to dense snapshots: every 5 steps

Step 640/1500000 | t=3.20e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.56 ms/step | ETA: 5711.5 min
Step 645/1500000 | t=3.23e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.41 ms/step | ETA: 5707.7 min
Step 650/1500000 | t=3.25e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.24 ms/step | ETA: 5703.5 min
Step 655/1500000 | t=3.28e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.51 ms/step | ETA: 5710.3 min
Step 660/1500000 | t=3.30e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.34 ms/step | ETA: 5706.0 min
Step 665/1500000 | t=3.33e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.19 ms/step | ETA: 5702.3 min
Step 670/1500000 | t=3.35e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.07 ms/step | ETA: 5699.2 min
Step 675/1500000 | t=3.38e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.90 ms/step | ETA: 5694.8 min
Step 680/1500000 | t=3.40e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.76 ms/step | ETA: 5691.3 min
Step 685/1500000 | t=3.43e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.60 ms/step | ETA: 5687.3 min
Step 690/1500000 | t=3.45e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.50 ms/step | ETA: 5684.8 min
Step 695/1500000 | t=3.47e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.40 ms/step | ETA: 5682.3 min
Step 700/1500000 | t=3.50e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.25 ms/step | ETA: 5678.7 min
Step 705/1500000 | t=3.52e-01 | T=7404.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.53 ms/step | ETA: 5685.5 min
Step 710/1500000 | t=3.55e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.39 ms/step | ETA: 5682.1 min
Step 715/1500000 | t=3.57e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.24 ms/step | ETA: 5678.4 min
Step 720/1500000 | t=3.60e-01 | T=7404.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 227.19 ms/step | ETA: 5677.0 min
