Step 6900000/1000000000 | t=1.73e+00 | T=7349.7 | a=1.000041 | H=2.41e-05 | 266.7 steps/s | 3.75 ms/step | ETA: 62060.8 min
Step 6950000/1000000000 | t=1.74e+00 | T=7349.7 | a=1.000041 | H=2.41e-05 | 267.5 steps/s | 3.74 ms/step | ETA: 61870.5 min
Step 7000000/1000000000 | t=1.75e+00 | T=7349.7 | a=1.000042 | H=2.41e-05 | 268.3 steps/s | 3.73 ms/step | ETA: 61683.5 min
Step 7050000/1000000000 | t=1.76e+00 | T=7349.7 | a=1.000042 | H=2.41e-05 | 269.1 steps/s | 3.72 ms/step | ETA: 61499.7 min
Step 7100000/1000000000 | t=1.78e+00 | T=7349.7 | a=1.000042 | H=2.41e-05 | 269.9 steps/s | 3.71 ms/step | ETA: 61320.2 min
Step 7150000/1000000000 | t=1.79e+00 | T=7349.7 | a=1.000043 | H=2.41e-05 | 270.6 steps/s | 3.69 ms/step | ETA: 61142.1 min
Step 7200000/1000000000 | t=1.80e+00 | T=7349.7 | a=1.000043 | H=2.41e-05 | 271.4 steps/s | 3.68 ms/step | ETA: 60964.2 min
Step 7250000/1000000000 | t=1.81e+00 | T=7349.7 | a=1.000043 | H=2.41e-05 | 272.1 steps/s | 3.67 ms/step | ETA: 60797.8 min
Step 7300000/1000000000 | t=1.83e+00 | T=7349.7 | a=1.000044 | H=2.41e-05 | 272.9 steps/s | 3.66 ms/step | ETA: 60634.2 min
Step 7350000/1000000000 | t=1.84e+00 | T=7349.7 | a=1.000044 | H=2.41e-05 | 273.6 steps/s | 3.66 ms/step | ETA: 60469.3 min
Step 7400000/1000000000 | t=1.85e+00 | T=7349.7 | a=1.000044 | H=2.41e-05 | 274.3 steps/s | 3.65 ms/step | ETA: 60304.5 min
Step 7450000/1000000000 | t=1.86e+00 | T=7349.7 | a=1.000045 | H=2.41e-05 | 275.0 steps/s | 3.64 ms/step | ETA: 60148.4 min
Step 7500000/1000000000 | t=1.88e+00 | T=7349.7 | a=1.000045 | H=2.41e-05 | 275.7 steps/s | 3.63 ms/step | ETA: 59995.5 min
Step 7550000/1000000000 | t=1.89e+00 | T=7349.7 | a=1.000045 | H=2.41e-05 | 276.4 steps/s | 3.62 ms/step | ETA: 59845.5 min
Step 7600000/1000000000 | t=1.90e+00 | T=7349.7 | a=1.000045 | H=2.41e-05 | 277.1 steps/s | 3.61 ms/step | ETA: 59693.5 min
Step 7650000/1000000000 | t=1.91e+00 | T=7349.7 | a=1.000046 | H=2.41e-05 | 277.8 steps/s | 3.60 ms/step | ETA: 59546.1 min
Step 7700000/1000000000 | t=1.93e+00 | T=7349.7 | a=1.000046 | H=2.41e-05 | 278.4 steps/s | 3.59 ms/step | ETA: 59395.4 min
Step 7750000/1000000000 | t=1.94e+00 | T=7349.7 | a=1.000046 | H=2.41e-05 | 279.1 steps/s | 3.58 ms/step | ETA: 59253.5 min
Step 7800000/1000000000 | t=1.95e+00 | T=7349.7 | a=1.000047 | H=2.41e-05 | 279.7 steps/s | 3.57 ms/step | ETA: 59117.3 min
Step 7850000/1000000000 | t=1.96e+00 | T=7349.7 | a=1.000047 | H=2.41e-05 | 280.3 steps/s | 3.57 ms/step | ETA: 58983.6 min
Step 7900000/1000000000 | t=1.98e+00 | T=7349.7 | a=1.000047 | H=2.41e-05 | 280.9 steps/s | 3.56 ms/step | ETA: 58853.9 min
Step 7950000/1000000000 | t=1.99e+00 | T=7349.7 | a=1.000048 | H=2.41e-05 | 281.6 steps/s | 3.55 ms/step | ETA: 58723.5 min
Step 8000000/1000000000 | t=2.00e+00 | T=7349.6 | a=1.000048 | H=2.41e-05 | 282.2 steps/s | 3.54 ms/step | ETA: 58596.3 min
Step 8050000/1000000000 | t=2.01e+00 | T=7349.6 | a=1.000048 | H=2.41e-05 | 282.8 steps/s | 3.54 ms/step | ETA: 58468.5 min
Step 8100000/1000000000 | t=2.03e+00 | T=7349.6 | a=1.000048 | H=2.41e-05 | 283.4 steps/s | 3.53 ms/step | ETA: 58341.5 min
Step 8150000/1000000000 | t=2.04e+00 | T=7349.6 | a=1.000049 | H=2.41e-05 | 283.9 steps/s | 3.52 ms/step | ETA: 58220.0 min
Step 8200000/1000000000 | t=2.05e+00 | T=7349.6 | a=1.000049 | H=2.41e-05 | 284.5 steps/s | 3.51 ms/step | ETA: 58099.4 min
Step 8250000/1000000000 | t=2.06e+00 | T=7349.6 | a=1.000049 | H=2.41e-05 | 285.1 steps/s | 3.51 ms/step | ETA: 57978.0 min
Step 8300000/1000000000 | t=2.08e+00 | T=7349.6 | a=1.000050 | H=2.41e-05 | 285.7 steps/s | 3.50 ms/step | ETA: 57857.5 min
Step 8350000/1000000000 | t=2.09e+00 | T=7349.6 | a=1.000050 | H=2.41e-05 | 286.3 steps/s | 3.49 ms/step | ETA: 57737.4 min
Step 8400000/1000000000 | t=2.10e+00 | T=7349.6 | a=1.000050 | H=2.41e-05 | 286.8 steps/s | 3.49 ms/step | ETA: 57622.5 min
Step 8450000/1000000000 | t=2.11e+00 | T=7349.6 | a=1.000051 | H=2.41e-05 | 287.4 steps/s | 3.48 ms/step | ETA: 57505.6 min
Step 8500000/1000000000 | t=2.13e+00 | T=7349.6 | a=1.000051 | H=2.41e-05 | 288.0 steps/s | 3.47 ms/step | ETA: 57387.1 min
Step 8550000/1000000000 | t=2.14e+00 | T=7349.6 | a=1.000051 | H=2.41e-05 | 288.5 steps/s | 3.47 ms/step | ETA: 57281.1 min
Step 8600000/1000000000 | t=2.15e+00 | T=7349.6 | a=1.000051 | H=2.41e-05 | 289.0 steps/s | 3.46 ms/step | ETA: 57175.4 min
Step 8650000/1000000000 | t=2.16e+00 | T=7349.6 | a=1.000052 | H=2.41e-05 | 289.5 steps/s | 3.45 ms/step | ETA: 57064.1 min
Step 8700000/1000000000 | t=2.18e+00 | T=7349.6 | a=1.000052 | H=2.41e-05 | 290.1 steps/s | 3.45 ms/step | ETA: 56959.1 min
