Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 12600/1000000 | t=1.26e+00 | T=14999.5 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.00 ms/step | ETA: 1333.0 min
Step 12700/1000000 | t=1.27e+00 | T=14999.5 | a=1.000031 | H=2.41e-05 | 12.4 steps/s | 80.95 ms/step | ETA: 1332.1 min
Step 12800/1000000 | t=1.28e+00 | T=14999.5 | a=1.000031 | H=2.41e-05 | 12.4 steps/s | 80.94 ms/step | ETA: 1331.8 min
Step 12900/1000000 | t=1.29e+00 | T=14999.5 | a=1.000031 | H=2.41e-05 | 12.4 steps/s | 80.91 ms/step | ETA: 1331.2 min
Step 13000/1000000 | t=1.30e+00 | T=14999.5 | a=1.000031 | H=2.41e-05 | 12.4 steps/s | 80.86 ms/step | ETA: 1330.1 min
Step 13100/1000000 | t=1.31e+00 | T=14999.5 | a=1.000032 | H=2.41e-05 | 12.4 steps/s | 80.81 ms/step | ETA: 1329.2 min
Step 13200/1000000 | t=1.32e+00 | T=14999.5 | a=1.000032 | H=2.41e-05 | 12.4 steps/s | 80.76 ms/step | ETA: 1328.3 min
Step 13300/1000000 | t=1.33e+00 | T=14999.5 | a=1.000032 | H=2.41e-05 | 12.4 steps/s | 80.72 ms/step | ETA: 1327.4 min
Step 13400/1000000 | t=1.34e+00 | T=14999.5 | a=1.000032 | H=2.41e-05 | 12.4 steps/s | 80.67 ms/step | ETA: 1326.6 min
Step 13500/1000000 | t=1.35e+00 | T=14999.5 | a=1.000032 | H=2.41e-05 | 12.4 steps/s | 80.64 ms/step | ETA: 1325.9 min
Step 13600/1000000 | t=1.36e+00 | T=14999.5 | a=1.000033 | H=2.41e-05 | 12.4 steps/s | 80.62 ms/step | ETA: 1325.4 min
Step 13700/1000000 | t=1.37e+00 | T=14999.5 | a=1.000033 | H=2.41e-05 | 12.4 steps/s | 80.59 ms/step | ETA: 1324.7 min
Step 13800/1000000 | t=1.38e+00 | T=14999.5 | a=1.000033 | H=2.41e-05 | 12.4 steps/s | 80.57 ms/step | ETA: 1324.3 min
Step 13900/1000000 | t=1.39e+00 | T=14999.5 | a=1.000033 | H=2.41e-05 | 12.4 steps/s | 80.53 ms/step | ETA: 1323.5 min
Step 14000/1000000 | t=1.40e+00 | T=14999.5 | a=1.000034 | H=2.41e-05 | 12.4 steps/s | 80.49 ms/step | ETA: 1322.7 min
Step 14100/1000000 | t=1.41e+00 | T=14999.5 | a=1.000034 | H=2.41e-05 | 12.4 steps/s | 80.44 ms/step | ETA: 1321.7 min
Step 14200/1000000 | t=1.42e+00 | T=14999.5 | a=1.000034 | H=2.41e-05 | 12.4 steps/s | 80.41 ms/step | ETA: 1321.1 min
Step 14300/1000000 | t=1.43e+00 | T=14999.5 | a=1.000034 | H=2.41e-05 | 12.4 steps/s | 80.37 ms/step | ETA: 1320.4 min
Step 14400/1000000 | t=1.44e+00 | T=14999.5 | a=1.000035 | H=2.41e-05 | 12.4 steps/s | 80.34 ms/step | ETA: 1319.7 min
Step 14500/1000000 | t=1.45e+00 | T=14999.5 | a=1.000035 | H=2.41e-05 | 12.5 steps/s | 80.30 ms/step | ETA: 1319.0 min
