Step 15340/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.7 steps/s | 103.58 ms/step | ETA: 836.7 min
Step 15350/500000 | t=1.53e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 103.71 ms/step | ETA: 837.8 min
Step 15360/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 103.84 ms/step | ETA: 838.8 min
Step 15370/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 103.97 ms/step | ETA: 839.8 min
Step 15380/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 104.24 ms/step | ETA: 842.0 min
Step 15390/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 104.37 ms/step | ETA: 843.0 min
Step 15400/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 104.49 ms/step | ETA: 844.0 min
Step 15410/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.6 steps/s | 104.63 ms/step | ETA: 845.1 min
Step 15420/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 104.76 ms/step | ETA: 846.1 min
Step 15430/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 104.89 ms/step | ETA: 847.1 min
Step 15440/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 105.02 ms/step | ETA: 848.1 min
Step 15450/500000 | t=1.54e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 105.16 ms/step | ETA: 849.2 min
Step 15460/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 105.32 ms/step | ETA: 850.5 min
Step 15470/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 105.45 ms/step | ETA: 851.6 min
Step 15480/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.5 steps/s | 105.72 ms/step | ETA: 853.7 min
Step 15490/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 105.85 ms/step | ETA: 854.7 min
Step 15500/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 105.97 ms/step | ETA: 855.7 min
Step 15510/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.09 ms/step | ETA: 856.7 min
Step 15520/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.22 ms/step | ETA: 857.7 min
Step 15530/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.35 ms/step | ETA: 858.7 min
Step 15540/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.47 ms/step | ETA: 859.7 min
Step 15550/500000 | t=1.55e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.60 ms/step | ETA: 860.7 min
Step 15560/500000 | t=1.56e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.73 ms/step | ETA: 861.8 min
Step 15570/500000 | t=1.56e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.4 steps/s | 106.86 ms/step | ETA: 862.8 min
Step 15580/500000 | t=1.56e+00 | T=7379.7 | a=1.000037 | H=2.41e-05 | 9.3 steps/s | 107.13 ms/step | ETA: 864.9 min
Step 15590/500000 | t=1.56e+00 | T=7379.7 | a=1.000038 | H=2.41e-05 | 9.3 steps/s | 107.26 ms/step | ETA: 866.0 min
