Step 21840/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.4 steps/s | 74.42 ms/step | ETA: 12404015.3 min
Step 21845/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.4 steps/s | 74.66 ms/step | ETA: 12443984.1 min
Step 21850/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.4 steps/s | 74.77 ms/step | ETA: 12462173.2 min
Step 21855/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.4 steps/s | 74.88 ms/step | ETA: 12480665.0 min
Step 21860/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.3 steps/s | 74.99 ms/step | ETA: 12498656.4 min
Step 21865/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.3 steps/s | 75.10 ms/step | ETA: 12517391.1 min
Step 21870/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.3 steps/s | 75.21 ms/step | ETA: 12534959.4 min
Step 21875/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.3 steps/s | 75.32 ms/step | ETA: 12553386.7 min
Step 21880/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.3 steps/s | 75.44 ms/step | ETA: 12572786.9 min
Step 21885/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.2 steps/s | 75.54 ms/step | ETA: 12589875.1 min
Step 21890/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.2 steps/s | 75.65 ms/step | ETA: 12607953.9 min
Step 21895/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.2 steps/s | 75.91 ms/step | ETA: 12651917.6 min
Step 21900/10000000000 | t=1.09e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.2 steps/s | 76.04 ms/step | ETA: 12673525.1 min
Step 21905/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.1 steps/s | 76.16 ms/step | ETA: 12693104.5 min
Step 21910/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.1 steps/s | 76.27 ms/step | ETA: 12710820.3 min
Step 21915/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.1 steps/s | 76.38 ms/step | ETA: 12730037.7 min
Step 21920/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.1 steps/s | 76.49 ms/step | ETA: 12749079.9 min
Step 21925/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.1 steps/s | 76.60 ms/step | ETA: 12767042.7 min
Step 21930/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.0 steps/s | 76.71 ms/step | ETA: 12785464.3 min
Step 21935/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.0 steps/s | 76.82 ms/step | ETA: 12803289.0 min
Step 21940/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 13.0 steps/s | 76.92 ms/step | ETA: 12820701.3 min
Step 21945/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.9 steps/s | 77.22 ms/step | ETA: 12870677.0 min
Step 21950/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.9 steps/s | 77.36 ms/step | ETA: 12892782.0 min
Step 21955/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.9 steps/s | 77.49 ms/step | ETA: 12915384.8 min
Step 21960/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.9 steps/s | 77.61 ms/step | ETA: 12935800.9 min
Step 21965/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.9 steps/s | 77.74 ms/step | ETA: 12956074.0 min
Step 21970/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.8 steps/s | 77.86 ms/step | ETA: 12976202.4 min
