Step 4700000/1000000000 | t=1.18e+00 | T=7345.8 | a=1.000028 | H=2.41e-05 | 406.1 steps/s | 2.46 ms/step | ETA: 40850.0 min
Step 4750000/1000000000 | t=1.19e+00 | T=7345.8 | a=1.000029 | H=2.41e-05 | 406.0 steps/s | 2.46 ms/step | ETA: 40859.2 min
Step 4800000/1000000000 | t=1.20e+00 | T=7345.8 | a=1.000029 | H=2.41e-05 | 405.9 steps/s | 2.46 ms/step | ETA: 40861.7 min
Step 4850000/1000000000 | t=1.21e+00 | T=7345.8 | a=1.000029 | H=2.41e-05 | 405.8 steps/s | 2.46 ms/step | ETA: 40867.9 min
Step 4900000/1000000000 | t=1.23e+00 | T=7345.8 | a=1.000029 | H=2.41e-05 | 405.7 steps/s | 2.46 ms/step | ETA: 40882.0 min
Step 4950000/1000000000 | t=1.24e+00 | T=7345.8 | a=1.000030 | H=2.41e-05 | 405.5 steps/s | 2.47 ms/step | ETA: 40894.0 min
Step 5000000/1000000000 | t=1.25e+00 | T=7345.8 | a=1.000030 | H=2.41e-05 | 405.4 steps/s | 2.47 ms/step | ETA: 40907.2 min
Step 5050000/1000000000 | t=1.26e+00 | T=7345.8 | a=1.000030 | H=2.41e-05 | 405.3 steps/s | 2.47 ms/step | ETA: 40917.7 min
Step 5100000/1000000000 | t=1.28e+00 | T=7345.8 | a=1.000031 | H=2.41e-05 | 405.2 steps/s | 2.47 ms/step | ETA: 40921.7 min
Step 5150000/1000000000 | t=1.29e+00 | T=7345.8 | a=1.000031 | H=2.41e-05 | 405.1 steps/s | 2.47 ms/step | ETA: 40927.7 min
Step 5200000/1000000000 | t=1.30e+00 | T=7345.8 | a=1.000031 | H=2.41e-05 | 405.0 steps/s | 2.47 ms/step | ETA: 40942.9 min
Step 5250000/1000000000 | t=1.31e+00 | T=7345.8 | a=1.000032 | H=2.41e-05 | 404.8 steps/s | 2.47 ms/step | ETA: 40956.7 min
Step 5300000/1000000000 | t=1.33e+00 | T=7345.8 | a=1.000032 | H=2.41e-05 | 404.6 steps/s | 2.47 ms/step | ETA: 40971.0 min
Step 5350000/1000000000 | t=1.34e+00 | T=7345.8 | a=1.000032 | H=2.41e-05 | 404.5 steps/s | 2.47 ms/step | ETA: 40987.0 min
Step 5400000/1000000000 | t=1.35e+00 | T=7345.8 | a=1.000032 | H=2.41e-05 | 404.3 steps/s | 2.47 ms/step | ETA: 41000.2 min
Step 5450000/1000000000 | t=1.36e+00 | T=7345.8 | a=1.000033 | H=2.41e-05 | 404.2 steps/s | 2.47 ms/step | ETA: 41011.5 min
Step 5500000/1000000000 | t=1.38e+00 | T=7345.8 | a=1.000033 | H=2.41e-05 | 404.0 steps/s | 2.48 ms/step | ETA: 41023.8 min
Step 5550000/1000000000 | t=1.39e+00 | T=7345.8 | a=1.000033 | H=2.41e-05 | 404.0 steps/s | 2.48 ms/step | ETA: 41029.5 min
Step 5600000/1000000000 | t=1.40e+00 | T=7345.8 | a=1.000034 | H=2.41e-05 | 403.8 steps/s | 2.48 ms/step | ETA: 41042.2 min
Step 5650000/1000000000 | t=1.41e+00 | T=7345.8 | a=1.000034 | H=2.41e-05 | 403.7 steps/s | 2.48 ms/step | ETA: 41050.3 min
Step 5700000/1000000000 | t=1.43e+00 | T=7345.7 | a=1.000034 | H=2.41e-05 | 403.6 steps/s | 2.48 ms/step | ETA: 41061.1 min
Step 5750000/1000000000 | t=1.44e+00 | T=7345.7 | a=1.000035 | H=2.41e-05 | 403.5 steps/s | 2.48 ms/step | ETA: 41070.6 min
Step 5800000/1000000000 | t=1.45e+00 | T=7345.7 | a=1.000035 | H=2.41e-05 | 403.4 steps/s | 2.48 ms/step | ETA: 41074.8 min
Step 5850000/1000000000 | t=1.46e+00 | T=7345.7 | a=1.000035 | H=2.41e-05 | 403.4 steps/s | 2.48 ms/step | ETA: 41078.5 min
Step 5900000/1000000000 | t=1.48e+00 | T=7345.7 | a=1.000035 | H=2.41e-05 | 403.3 steps/s | 2.48 ms/step | ETA: 41080.6 min
Step 5950000/1000000000 | t=1.49e+00 | T=7345.7 | a=1.000036 | H=2.41e-05 | 403.3 steps/s | 2.48 ms/step | ETA: 41083.0 min
Step 6000000/1000000000 | t=1.50e+00 | T=7345.7 | a=1.000036 | H=2.41e-05 | 403.2 steps/s | 2.48 ms/step | ETA: 41086.3 min
Step 6050000/1000000000 | t=1.51e+00 | T=7345.7 | a=1.000036 | H=2.41e-05 | 403.1 steps/s | 2.48 ms/step | ETA: 41093.4 min
Step 6100000/1000000000 | t=1.53e+00 | T=7345.7 | a=1.000037 | H=2.41e-05 | 403.1 steps/s | 2.48 ms/step | ETA: 41098.0 min
Step 6150000/1000000000 | t=1.54e+00 | T=7345.7 | a=1.000037 | H=2.41e-05 | 403.0 steps/s | 2.48 ms/step | ETA: 41102.6 min
Step 6200000/1000000000 | t=1.55e+00 | T=7345.7 | a=1.000037 | H=2.41e-05 | 402.9 steps/s | 2.48 ms/step | ETA: 41106.4 min
Step 6250000/1000000000 | t=1.56e+00 | T=7345.7 | a=1.000038 | H=2.41e-05 | 402.9 steps/s | 2.48 ms/step | ETA: 41110.5 min
Step 6300000/1000000000 | t=1.58e+00 | T=7345.7 | a=1.000038 | H=2.41e-05 | 402.7 steps/s | 2.48 ms/step | ETA: 41123.0 min
Step 6350000/1000000000 | t=1.59e+00 | T=7345.7 | a=1.000038 | H=2.41e-05 | 402.7 steps/s | 2.48 ms/step | ETA: 41128.8 min
Step 6400000/1000000000 | t=1.60e+00 | T=7345.7 | a=1.000038 | H=2.41e-05 | 402.6 steps/s | 2.48 ms/step | ETA: 41133.6 min
Step 6450000/1000000000 | t=1.61e+00 | T=7345.7 | a=1.000039 | H=2.41e-05 | 402.5 steps/s | 2.48 ms/step | ETA: 41139.8 min
Step 6500000/1000000000 | t=1.63e+00 | T=7345.7 | a=1.000039 | H=2.41e-05 | 402.4 steps/s | 2.48 ms/step | ETA: 41144.7 min
Step 6550000/1000000000 | t=1.64e+00 | T=7345.7 | a=1.000039 | H=2.41e-05 | 402.4 steps/s | 2.49 ms/step | ETA: 41151.1 min
Step 6600000/1000000000 | t=1.65e+00 | T=7345.7 | a=1.000040 | H=2.41e-05 | 402.3 steps/s | 2.49 ms/step | ETA: 41154.7 min
Step 6650000/1000000000 | t=1.66e+00 | T=7345.7 | a=1.000040 | H=2.41e-05 | 402.2 steps/s | 2.49 ms/step | ETA: 41158.9 min
Step 6700000/1000000000 | t=1.68e+00 | T=7345.7 | a=1.000040 | H=2.41e-05 | 402.2 steps/s | 2.49 ms/step | ETA: 41163.8 min
Step 6750000/1000000000 | t=1.69e+00 | T=7345.7 | a=1.000041 | H=2.41e-05 | 402.0 steps/s | 2.49 ms/step | ETA: 41175.2 min
Step 6800000/1000000000 | t=1.70e+00 | T=7345.7 | a=1.000041 | H=2.41e-05 | 401.9 steps/s | 2.49 ms/step | ETA: 41186.2 min
Step 6850000/1000000000 | t=1.71e+00 | T=7345.7 | a=1.000041 | H=2.41e-05 | 401.8 steps/s | 2.49 ms/step | ETA: 41194.6 min
Step 6900000/1000000000 | t=1.73e+00 | T=7345.7 | a=1.000041 | H=2.41e-05 | 401.7 steps/s | 2.49 ms/step | ETA: 41202.9 min
Step 6950000/1000000000 | t=1.74e+00 | T=7345.7 | a=1.000042 | H=2.41e-05 | 401.6 steps/s | 2.49 ms/step | ETA: 41209.9 min
Step 7000000/1000000000 | t=1.75e+00 | T=7345.7 | a=1.000042 | H=2.41e-05 | 401.5 steps/s | 2.49 ms/step | ETA: 41216.3 min
Step 7050000/1000000000 | t=1.76e+00 | T=7345.7 | a=1.000042 | H=2.41e-05 | 401.5 steps/s | 2.49 ms/step | ETA: 41223.1 min
Step 7100000/1000000000 | t=1.78e+00 | T=7345.7 | a=1.000043 | H=2.41e-05 | 401.4 steps/s | 2.49 ms/step | ETA: 41227.6 min
Step 7150000/1000000000 | t=1.79e+00 | T=7345.7 | a=1.000043 | H=2.41e-05 | 401.3 steps/s | 2.49 ms/step | ETA: 41234.5 min
Step 7200000/1000000000 | t=1.80e+00 | T=7345.7 | a=1.000043 | H=2.41e-05 | 401.2 steps/s | 2.49 ms/step | ETA: 41242.9 min
Step 7250000/1000000000 | t=1.81e+00 | T=7345.7 | a=1.000044 | H=2.41e-05 | 401.1 steps/s | 2.49 ms/step | ETA: 41252.7 min
Step 7300000/1000000000 | t=1.83e+00 | T=7345.7 | a=1.000044 | H=2.41e-05 | 401.0 steps/s | 2.49 ms/step | ETA: 41263.4 min
Step 7350000/1000000000 | t=1.84e+00 | T=7345.7 | a=1.000044 | H=2.41e-05 | 400.9 steps/s | 2.49 ms/step | ETA: 41266.3 min
Step 7400000/1000000000 | t=1.85e+00 | T=7345.7 | a=1.000045 | H=2.41e-05 | 400.8 steps/s | 2.49 ms/step | ETA: 41274.0 min
Step 7450000/1000000000 | t=1.86e+00 | T=7345.7 | a=1.000045 | H=2.41e-05 | 400.8 steps/s | 2.50 ms/step | ETA: 41278.8 min
Step 7500000/1000000000 | t=1.88e+00 | T=7345.7 | a=1.000045 | H=2.41e-05 | 400.7 steps/s | 2.50 ms/step | ETA: 41285.4 min
Step 7550000/1000000000 | t=1.89e+00 | T=7345.7 | a=1.000045 | H=2.41e-05 | 400.6 steps/s | 2.50 ms/step | ETA: 41293.9 min
Step 7600000/1000000000 | t=1.90e+00 | T=7345.7 | a=1.000046 | H=2.41e-05 | 400.5 steps/s | 2.50 ms/step | ETA: 41298.5 min
Step 7650000/1000000000 | t=1.91e+00 | T=7345.7 | a=1.000046 | H=2.41e-05 | 400.4 steps/s | 2.50 ms/step | ETA: 41305.9 min
Step 7700000/1000000000 | t=1.93e+00 | T=7345.7 | a=1.000046 | H=2.41e-05 | 400.3 steps/s | 2.50 ms/step | ETA: 41310.3 min
Step 7750000/1000000000 | t=1.94e+00 | T=7345.7 | a=1.000047 | H=2.41e-05 | 400.3 steps/s | 2.50 ms/step | ETA: 41314.9 min
Step 7800000/1000000000 | t=1.95e+00 | T=7345.7 | a=1.000047 | H=2.41e-05 | 400.3 steps/s | 2.50 ms/step | ETA: 41315.4 min
Step 7850000/1000000000 | t=1.96e+00 | T=7345.7 | a=1.000047 | H=2.41e-05 | 400.2 steps/s | 2.50 ms/step | ETA: 41318.7 min
