Step 5900000/1000000000 | t=5.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 35946.0 min
Step 5950000/1000000000 | t=5.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 460.9 steps/s | 2.17 ms/step | ETA: 35942.6 min
Step 6000000/1000000000 | t=6.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35938.7 min
Step 6050000/1000000000 | t=6.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.0 steps/s | 2.17 ms/step | ETA: 35931.8 min
Step 6100000/1000000000 | t=6.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 35925.3 min
Step 6150000/1000000000 | t=6.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 35921.1 min
Step 6200000/1000000000 | t=6.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.2 steps/s | 2.17 ms/step | ETA: 35916.1 min
Step 6250000/1000000000 | t=6.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.3 steps/s | 2.17 ms/step | ETA: 35906.8 min
Step 6300000/1000000000 | t=6.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 35896.3 min
Step 6350000/1000000000 | t=6.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 35882.4 min
Step 6400000/1000000000 | t=6.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 35875.1 min
Step 6450000/1000000000 | t=6.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.7 steps/s | 2.17 ms/step | ETA: 35868.1 min
Step 6500000/1000000000 | t=6.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.8 steps/s | 2.17 ms/step | ETA: 35855.6 min
Step 6550000/1000000000 | t=6.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 461.9 steps/s | 2.16 ms/step | ETA: 35846.0 min
Step 6600000/1000000000 | t=6.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.0 steps/s | 2.16 ms/step | ETA: 35835.2 min
Step 6650000/1000000000 | t=6.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.1 steps/s | 2.16 ms/step | ETA: 35823.7 min
Step 6700000/1000000000 | t=6.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.1 steps/s | 2.16 ms/step | ETA: 35823.1 min
Step 6750000/1000000000 | t=6.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.2 steps/s | 2.16 ms/step | ETA: 35813.9 min
Step 6800000/1000000000 | t=6.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.2 steps/s | 2.16 ms/step | ETA: 35813.0 min
Step 6850000/1000000000 | t=6.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.2 steps/s | 2.16 ms/step | ETA: 35814.1 min
Step 6900000/1000000000 | t=6.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.2 steps/s | 2.16 ms/step | ETA: 35814.2 min
Step 6950000/1000000000 | t=6.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 462.1 steps/s | 2.16 ms/step | ETA: 35817.4 min
